City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
143,pointe-noire,-4.7761,11.8635,86.07,84,20,5.75,CG,1710276838
144,baley,51.6,116.6333,10.76,93,47,4.16,RU,1710276839
145,fortuna,40.5982,-124.1573,56.66,85,75,11.5,US,1710276715
146,port alfred,-33.5906,26.891,70.18,95,99,4.0,ZA,1710276839
147,kingston,17.997,-76.7936,86.95,64,40,19.57,JM,1710276641
148,sisimiut,66.9395,-53.6735,15.91,93,100,5.84,GL,1710276839
149,nar'yan-mar,67.6713,53.087,22.1,80,100,18.99,RU,1710276703
150,glace bay,46.1969,-59.957,37.27,89,75,9.22,CA,1710276640
151,qaqortoq,60.7167,-46.0333,17.55,94,19,2.86,GL,1710276840
152,saipan,15.1355,145.701,79.5,83,40,13.8,MP,1710276840
153,pizarro,4.9533,-77.366,82.33,80,100,5.12,CO,1710276841
154,cabo san lucas,22.8909,-109.9124,85.3,53,84,8.21,MX,1710276628
155,thompson,55.7435,-97.8558,19.56,86,100,9.22,CA,1710276841
156,rampur,28.8167,79.0333,64.35,43,0,7.9,IN,1710276842
157,isla mujeres,21.2311,-86.731,86.16,71,0,10.36,MX,1710276842
158,isafjordur,66.0755,-23.124,35.49,92,100,9.37,IS,1710276842
159,puerto aysen,-45.4,-72.7,51.39,97,100,5.97,CL,1710276842
160,pizhou,34.3114,117.9503,41.61,66,100,6.67,CN,1710276843
161,mailani,28.2833,80.35,64.72,41,0,7.09,IN,1710276843
162,joshimath,30.5667,79.5667,42.04,47,0,8.59,IN,1710276843
163,porto novo,6.4965,2.6036,85.82,83,97,7.58,BJ,1710276844
164,morbegno,46.1383,9.57,48.81,80,96,6.76,IT,1710276844
165,enewetak,11.3474,162.3373,80.1,76,100,22.68,MH,1710276844
166,iskateley,67.6803,53.1512,22.01,80,100,18.99,RU,1710276845
167,vikhorevka,56.1201,101.1636,11.79,100,96,1.72,RU,1710276845
168,beringen,51.0507,5.2216,50.94,92,100,4.61,BE,1710276846
169,gadzhiyevo,69.2551,33.3362,20.93,74,100,15.77,RU,1710276648
170,yarmouth,41.7057,-70.2286,57.15,42,0,11.5,US,1710276846
171,puerto ayora,-0.7393,-90.3518,85.96,89,88,5.01,EC,1710276847
172,saquarema,-22.92,-42.5103,80.64,81,32,4.65,BR,1710276847
173,yeppoon,-23.1333,150.7333,69.58,84,91,14.34,AU,1710276847
174,whitehorse,60.7161,-135.0538,32.02,51,75,20.71,CA,1710276848
175,namibe,-15.1961,12.1522,78.67,70,52,9.44,AO,1710276848
176,port elizabeth,-33.918,25.5701,70.09,84,0,13.8,ZA,1710276580
177,pisco,-13.7,-76.2167,80.65,61,0,21.85,PE,1710276658
178,asahi,35.7167,140.65,44.98,59,100,15.73,JP,1710276849
179,ust-nera,64.5667,143.2,-27.02,98,68,2.77,RU,1710276686
180,kiunga,-6.1219,141.2906,74.07,99,100,2.35,PG,1710276849
181,pong nam ron,12.9058,102.2623,72.84,95,80,2.91,TH,1710276849
182,rincon,32.296,-81.2354,74.91,26,75,9.22,US,1710276850
183,la'ie,21.6477,-157.9253,79.45,78,81,11.56,US,1710276850
184,stanley,54.868,-1.6985,49.71,90,75,4.61,GB,1710276850
185,alytus,54.4,24.05,35.13,97,100,9.86,LT,1710276851
186,west island,-12.1568,96.8225,75.18,88,75,13.8,CC,1710276851
187,tacana,15.2333,-92.0833,69.73,50,42,6.55,GT,1710276851
188,punta arenas,-53.15,-70.9167,57.31,41,40,18.41,CL,1710276763
189,kananga,-5.8958,22.4178,73.24,86,90,2.68,CD,1710276852
190,kruisfontein,-34.0033,24.7314,66.96,72,99,6.91,ZA,1710276581
191,margate,51.3813,1.3862,52.88,93,100,8.99,GB,1710276309
192,tommot,58.9564,126.2925,5.43,99,100,2.04,RU,1710276852
193,zvornik,44.3869,19.1014,47.05,85,100,5.17,BA,1710276853
194,ambodifotatra,-16.9833,49.85,81.64,78,5,11.25,MG,1710276853
195,beledweyne,4.7358,45.2036,85.82,58,66,13.47,SO,1710276853
196,suining,30.508,105.5733,54.19,92,100,9.84,CN,1710276854
197,sinop,41.7711,34.8709,52.43,54,100,8.61,TR,1710276693
198,broome,42.2506,-75.833,60.67,52,0,12.66,US,1710276854
199,tofol,5.3248,163.0078,81.48,86,100,21.25,FM,1710276854
200,podporozh'ye,60.9112,34.1706,22.48,96,100,3.49,RU,1710276855
201,mount gambier,-37.8333,140.7667,56.91,88,100,8.46,AU,1710276758
202,fada,9.5667,8.3,80.22,50,100,1.88,NG,1710276855
203,novodvinsk,64.4165,40.8122,31.78,93,100,8.41,RU,1710276855
204,gaigeturi,33.4644,126.3183,44.65,61,20,5.75,KR,1710276856
205,noumea,-22.2763,166.4572,79.0,99,99,12.1,NC,1710276753
206,vernon,50.2581,-119.2691,52.75,58,94,2.3,CA,1710276690
207,loch garman,52.3342,-6.4575,52.12,100,100,21.0,IE,1710276856
